file,source,group,split,sha256,phash,width,height,stratum,helmet,no_helmet
hard_hat_workers2837.png,hard-hat-v1,hard_hat_workers2837,train,dc47f7fa3b9d071699befb52e6a5af91a54ba7bba84ab7187b7dcc539914840e,331372030a869686,416,415,helmet,2,0
hard_hat_workers3793.png,hard-hat-v1,hard_hat_workers3793,train,02ef81794164af994ad070bf33bb10d7315a02664dc88618a65e60d8a874844b,ae2d6e664d6d7959,416,416,helmet,2,0
hard_hat_workers1.png,shel5k,hard_hat_workers1,train,c502866e7e56feafc394624a51559cc846a828acbc8e01aaf5b540c71c999fb2,8985296c98d8d4d0,416,416,helmet,9,0
hard_hat_workers10.png,shel5k,hard_hat_workers10,train,a62d70f131eebf7a003574034566acd0d363548d8a1f761b297d8ed7e9b15cf0,86aab135b93261a2,416,416,helmet,3,0
hard_hat_workers100.png,shel5k,hard_hat_workers100,train,b68993d32c3fff63cf84e85a5f48ea48c7dcce21d96b10e20c248fe6eef2098f,32253192de30b430,416,415,helmet,5,0
hard_hat_workers1000.png,shel5k,hard_hat_workers1000,train,3675beef87bb2873d0fef5d84c98f7c0c961fa4d61457f9556e23e4abbbe6206,1f5d3fdb4b56bd76,416,416,helmet,2,0
hard_hat_workers1001.png,shel5k,hard_hat_workers1001,train,7cc740a0ad7637fee1c53795cc4a446a136277fb0d49758cf9387e75983d194e,6d6f578a8686c686,416,415,helmet,3,0
hard_hat_workers1002.png,shel5k,hard_hat_workers1002,train,d5a6726efadee8496d575eca5eca557aa1b3be32922da323aed075a5c1fc1fca,868684c4d0cc8c9c,416,416,helmet,3,0
hard_hat_workers1004.png,shel5k,hard_hat_workers1004,train,aad8ab690f7ad2e443ff435fb09751f09e8c25e3465ff416b3d3a5dd1077b2a2,0e0f0e0f6f478b03,416,415,helmet,7,0
hard_hat_workers1005.png,shel5k,hard_hat_workers1005,train,6895e7d30164b680838cf00d0de2ce7c5fd56b2bda675bfc7d1befb978c736e9,7b5b73b5dccf9fdf,416,415,helmet+no_helmet,6,1
hard_hat_workers1006.png,shel5k,hard_hat_workers1006,train,27239ab95298c0b9569c8b3411c4ebaa519b8a3219d4bbce9ca404639e6a979f,cb53cb8acada7ada,416,416,helmet+no_helmet,2,19
hard_hat_workers1007.png,shel5k,hard_hat_workers1007,train,bb33540d446947f0ea8a9edce7affca4cca072b9de6cce7d7e43ece241db935e,b79637262527c967,416,415,helmet+no_helmet,3,1
hard_hat_workers1008.png,shel5k,hard_hat_workers1008,train,76080d627c0b72cdc33cae8bbb7f6b43a5d51b252a3534e3770a7efaa81050c2,0c294c93726edc6c,416,415,helmet,3,0
hard_hat_workers1009.png,shel5k,hard_hat_workers1009,train,f99ba665d1a9159513e48b877c93564812e6d13bf4e78fa131a7e47198f0b387,f2f232d9cdec47ac,416,415,helmet,4,0
hard_hat_workers101.png,shel5k,hard_hat_workers101,train,232bb68a7d4b5ce6f3dc7035d3faa6073458c08e9d032480747d33e1af234b2c,9f86193d58596141,416,416,no_helmet,0,6
