file,split,sha256,width,height,helmet,no_helmet,stratum
hard_hat_workers0.png,train,3e5c3ab8bf49635f2db296e415834ff74eb13a0ffd94f43d983d2b7eb6ca5b6d,416,416,7,6,helmet+no_helmet
hard_hat_workers10.png,train,a62d70f131eebf7a003574034566acd0d363548d8a1f761b297d8ed7e9b15cf0,416,416,3,0,helmet
hard_hat_workers100.png,train,b68993d32c3fff63cf84e85a5f48ea48c7dcce21d96b10e20c248fe6eef2098f,416,415,5,0,helmet
hard_hat_workers1000.png,train,3675beef87bb2873d0fef5d84c98f7c0c961fa4d61457f9556e23e4abbbe6206,416,416,2,0,helmet
hard_hat_workers1001.png,train,7cc740a0ad7637fee1c53795cc4a446a136277fb0d49758cf9387e75983d194e,416,415,4,0,helmet
hard_hat_workers1002.png,train,d5a6726efadee8496d575eca5eca557aa1b3be32922da323aed075a5c1fc1fca,416,416,4,0,helmet
hard_hat_workers1003.png,train,fede0a34c055b494a6d6dce43ed1ab1540dc959842870dd854638cabd55b2c5d,416,415,6,0,helmet
hard_hat_workers1004.png,train,aad8ab690f7ad2e443ff435fb09751f09e8c25e3465ff416b3d3a5dd1077b2a2,416,415,5,0,helmet
hard_hat_workers1005.png,train,6895e7d30164b680838cf00d0de2ce7c5fd56b2bda675bfc7d1befb978c736e9,416,415,5,2,helmet+no_helmet
hard_hat_workers1006.png,train,27239ab95298c0b9569c8b3411c4ebaa519b8a3219d4bbce9ca404639e6a979f,416,416,2,16,helmet+no_helmet
hard_hat_workers1007.png,train,bb33540d446947f0ea8a9edce7affca4cca072b9de6cce7d7e43ece241db935e,416,415,3,1,helmet+no_helmet
hard_hat_workers1008.png,train,76080d627c0b72cdc33cae8bbb7f6b43a5d51b252a3534e3770a7efaa81050c2,416,415,3,0,helmet
hard_hat_workers101.png,train,232bb68a7d4b5ce6f3dc7035d3faa6073458c08e9d032480747d33e1af234b2c,416,416,0,5,no_helmet
hard_hat_workers1010.png,train,7d9d1346206eaf237852a9384f3a08293996abc9a222ec9f97b7958c33499546,416,415,0,6,no_helmet
hard_hat_workers1011.png,train,be97da9099d36f685ad48c9572e14ce65d0ad063a12c75b8292f787dce759ad7,416,415,2,0,helmet
